_id,Date,Leasee,Name of Event,Place,Type,Revenue,Attendance
1,2009,Gemini Entertainment,"R&B Concert featuring Tre' Williams, Calvin Richardson, and Lacee'",Thalia Mara,Concert,2550.0000,1000
2,2009,"W. Kessler, LTD",Rave On,Thalia Mara,Concert,5100.0000,3800
3,2009,Mississippi Symphony,"Beethoven, The Hero",Thalia Mara,Symphony,1150.0000,1300
4,2009,Mississippi Music Educators,Mississippi Sings,Thalia Mara,Chorus,900.0000,4000
5,2009,"W. Kessler, LTD",Camelot,Thalia Mara,Musical,5100.0000,4200
6,2009,The Production Group,Arnez J Comedy Show,Thalia Mara,Comedy,1250.0000,762
7,2010,Ballet Mississippi,The Nutcracker,Thalia Mara,Ballet,3350.0000,7200
8,2010,Finesse Entertainment,Dance Competition,Thalia Mara,Competition,1250.0000,700
9,2010,Ballet Magnificat,A Christmas Dream,Thalia Mara,Ballet,2450.0000,4000
10,2010,Belhaven College,Graduation,Thalia Mara,Graduation,700.0000,2362
11,2010,City of Jackson,City of Jackson Employee Recognition,Thalia Mara,City Event,0.0000,500
12,2010,"W. Kessler, LTD",The Wizard of Oz,Thalia Mara,Musical,5100.0000,4720
13,2010,Mississippi Symphony,1812 Overture and More,Thalia Mara,Symphony,1150.0000,1400
14,2010,Mississippi Opera,Renee Fleming Concert,Thalia Mara,Opera,1050.0000,1600
15,2010,TLS Management Company,Robin Thicke Concert,Thalia Mara,Concert,1550.0000,2360
16,2010,Mississippi Symphony,A Musical Valentine,Thalia Mara,Symphony,1150.0000,1700
17,2010,Outback Concerts,Rodney Carrington Comedy Show,Thalia Mara,Comedy,2550.0000,1980
18,2010,Charles Heron Enterprises,I Can't Stop Loving You,Thalia Mara,Concert,5895.7700,2519
19,2010,"W. Kessler, LTD",Groovaloo,Thalia Mara,Dance,4467.7200,3200
20,2010,Mississippi Symphony,Romantic Preludes and Scandinavian Grandeur,Thalia Mara,Symphony,1150.0000,1900
21,2010,Metro Ballet,Alice In Wonderland,Thalia Mara,Ballet,1150.0000,1200
